City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,spearfish,44.4908,-103.8594,299.72,53,75,4.63,US,1722896573
113,tolanaro,-25.0319,46.9987,292.19,77,0,1.03,MG,1722896574
114,piacabucu,-10.4056,-36.4344,295.36,88,42,4.25,BR,1722896575
115,lerwick,60.1545,-1.1494,286.15,93,98,0.31,GB,1722896576
116,todaraisingh,26.0167,75.4833,297.49,85,66,5.02,IN,1722896577
117,rongelap,11.1635,166.8941,301.55,77,100,6.47,MH,1722896578
118,hassi messaoud,31.6804,6.0729,307.07,22,0,2.57,DZ,1722896579
119,takum,7.2667,9.9833,296.09,90,96,1.38,NG,1722896580
120,lazaro cardenas,17.9583,-102.2,302.24,73,100,3.14,MX,1722896577
121,kenora,49.8167,-94.4337,295.69,40,75,1.54,CA,1722896582
122,machico,32.7,-16.7667,297.5,75,40,3.09,PT,1722896583
123,stanley,54.868,-1.6985,293.16,83,40,4.63,GB,1722896349
124,badger,64.8,-147.5333,301.1,41,20,3.09,US,1722896585
125,mitu,1.1983,-70.1733,297.84,96,100,0.66,CO,1722896586
126,bethel,41.3712,-73.414,302.92,70,0,3.09,US,1722896324
127,wailua homesteads,22.0669,-159.378,301.59,70,20,5.14,US,1722896588
128,khandyga,62.6667,135.6,284.81,92,100,3.36,RU,1722896589
129,xam nua,20.4197,104.0439,291.86,99,100,1.03,LA,1722896590
130,mount gambier,-37.8333,140.7667,279.06,100,92,3.03,AU,1722896591
131,berbera,10.4396,45.0143,303.61,63,100,5.54,SO,1722896592
132,qaqortoq,60.7167,-46.0333,281.73,78,100,1.46,GL,1722896593
133,bilibino,68.0546,166.4372,276.87,61,92,1.14,RU,1722896595
134,jamestown,42.097,-79.2353,297.44,96,100,3.09,US,1722896456
135,constantia,44.1833,28.65,293.54,63,45,5.06,RO,1722896597
136,olonkinbyen,70.9221,-8.7187,279.53,95,100,2.7,SJ,1722896598
137,port arthur,38.8,121.2667,298.27,84,99,1.11,CN,1722896599
138,chibougamau,49.9168,-74.3659,288.94,72,20,2.06,CA,1722896600
139,doctor mora,21.1417,-100.3125,295.8,47,6,5.35,MX,1722896601
140,coquimbo,-29.9533,-71.3436,287.0,61,0,4.12,CL,1722896602
141,saldanha,-33.0117,17.9442,280.18,83,1,3.9,ZA,1722896603
142,penzance,50.1186,-5.5371,289.53,94,100,6.19,GB,1722896604
143,ballycastle,55.2044,-6.243,287.34,81,100,0.56,GB,1722896605
144,tazovsky,67.4667,78.7,278.41,80,70,4.96,RU,1722896606
145,egilsstadir,65.2653,-14.3948,282.1,93,40,2.57,IS,1722896607
146,hermanus,-34.4187,19.2345,283.04,78,4,5.52,ZA,1722896608
147,sungailiat,-1.85,106.1333,298.86,79,100,4.44,ID,1722896609
148,batangafo,7.3008,18.2833,294.93,97,99,1.18,CF,1722896610
149,callao,-12.0667,-77.15,292.83,72,75,5.66,PE,1722896611
150,ancud,-41.8697,-73.8203,281.15,92,100,9.25,CL,1722896612
151,kingston,17.997,-76.7936,305.68,66,20,9.26,JM,1722896389
152,kindia,10.0569,-12.8658,294.74,98,100,1.64,GN,1722896614
153,nago,26.5881,127.9761,301.62,87,92,4.04,JP,1722896615
154,yumbe,3.4651,31.2469,292.01,94,100,1.66,UG,1722896616
155,gharghoda,22.1667,83.35,298.29,95,100,1.9,IN,1722896617
156,okhotsk,59.3833,143.3,285.18,88,100,8.82,RU,1722896386
157,paragominas,-2.9667,-47.4833,304.42,37,80,2.83,BR,1722896620
158,mpika,-11.8343,31.4529,287.07,36,0,1.1,ZM,1722896621
159,muli,2.9167,73.5667,301.53,75,100,5.11,MV,1722896622
160,priargunsk,50.3691,119.1012,290.9,75,68,1.65,RU,1722896623
161,sisimiut,66.9395,-53.6735,279.76,79,74,1.46,GL,1722896624
162,beloyarskiy,63.7119,66.6722,283.32,74,99,3.03,RU,1722896625
163,santa elena de uairen,4.6167,-61.1333,294.79,79,81,2.05,VE,1722896626
164,weno,7.4515,151.8468,302.12,84,75,2.06,FM,1722896627
165,saint-philippe,-21.3585,55.7679,291.92,78,25,4.45,RE,1722896628
166,abra pampa,-22.7205,-65.697,284.22,6,0,5.28,AR,1722896629
167,moissala,8.3404,17.7663,295.28,93,99,0.44,TD,1722896630
168,at taj,24.2049,23.2857,303.25,18,1,4.53,LY,1722896631
169,jumla,29.2747,82.1838,288.71,93,100,0.22,NP,1722896632
170,tsengel,49.4783,100.8894,284.54,86,7,0.69,MN,1722896633
171,nishinoomote,30.7333,131.0,301.69,77,19,3.57,JP,1722896634
172,yuzhno-kurilsk,44.0306,145.8556,289.31,99,100,2.92,RU,1722896635
173,alice springs,-23.7,133.8833,275.9,100,0,1.54,AU,1722896636
174,el nido,11.1858,119.3956,297.67,92,84,4.12,PH,1722896637
175,nowy dwor mazowiecki,52.4302,20.7165,290.51,89,20,3.09,PL,1722896638
176,lebu,-37.6167,-73.65,281.44,84,46,3.97,CL,1722896639
177,punta arenas,-53.15,-70.9167,272.21,86,20,3.09,CL,1722896570
178,boca suno,-0.7167,-77.1333,295.92,77,95,0.81,EC,1722896642
179,las delicias,19.8333,-90.5,305.14,66,40,2.57,MX,1722896643
180,bredasdorp,-34.5322,20.0403,280.99,84,0,3.34,ZA,1722896644
181,veinticinco de mayo,-35.4323,-60.1727,288.7,87,100,1.34,AR,1722896645
182,sitka,57.0531,-135.33,294.09,64,20,1.54,US,1722896646
183,namibe,-15.1961,12.1522,291.48,85,94,0.4,AO,1722896647
184,aasiaat,68.7098,-52.8699,277.43,88,61,1.84,GL,1722896648
185,medicine hat,50.0501,-110.6683,300.77,41,75,4.63,CA,1722896649
186,pandan,14.0453,124.1694,300.43,84,100,5.57,PH,1722896650
187,puerto leguizamo,-0.1934,-74.7819,298.8,94,57,1.19,CO,1722896651
188,tyukhtet,56.5389,89.3011,288.38,97,100,3.59,RU,1722896652
189,patterson,37.4716,-121.1297,309.12,13,0,3.92,US,1722896654
190,orono,44.8831,-68.672,296.36,68,71,2.83,US,1722896655
191,auki,-8.7676,160.7034,297.55,92,100,2.39,SB,1722896656
192,opuwo,-18.0607,13.84,291.02,30,0,1.82,NA,1722896657
193,broken hill,-31.95,141.4333,278.65,90,0,1.73,AU,1722896658
194,port mathurin,-19.6833,63.4167,295.55,77,13,7.53,MU,1722896659
195,korsakov,46.6328,142.7813,286.06,92,100,0.8,RU,1722896660
196,corfu,39.62,19.9197,300.03,50,20,0.0,GR,1722896661
197,puerto ayora,-0.7393,-90.3518,297.13,80,60,4.57,EC,1722896662
198,morehead city,34.7229,-76.726,301.18,90,100,8.75,US,1722896383
199,taroa,8.7058,171.2275,301.75,76,100,4.67,MH,1722896396
200,newman,37.3138,-121.0208,311.34,10,0,1.55,US,1722896665
201,mogadishu,2.0371,45.3438,297.69,78,2,9.24,SO,1722896667
202,gadzhiyevo,69.2551,33.3362,281.58,78,2,1.64,RU,1722896668
203,ankang,32.68,109.0172,297.22,92,27,0.56,CN,1722896223
204,asenovgrad,42.0167,24.8667,296.99,73,63,2.06,BG,1722896671
205,mournies,35.4764,24.0092,302.5,65,0,1.54,GR,1722896672
206,mejit,10.2753,170.8646,301.46,80,100,6.14,MH,1722896673
207,tranqueras,-31.2,-55.75,291.88,96,64,2.42,UY,1722896674
208,pionerskiy,54.9508,20.2275,292.06,82,16,5.65,RU,1722896675
209,kolaras,25.2333,77.6,297.46,92,100,4.72,IN,1722896676
210,port lincoln,-34.7333,135.8667,282.6,90,99,4.39,AU,1722896677
211,ebon,4.582,168.6964,301.71,73,17,4.93,MH,1722896678
212,kodiak,57.79,-152.4072,284.88,100,100,8.75,US,1722896679
213,alvorada,-12.48,-49.1247,300.04,29,0,2.42,BR,1722896681
214,senillosa,-39.0,-68.4167,285.03,42,98,1.27,AR,1722896682
215,bengkulu,-3.8004,102.2655,296.17,87,4,2.52,ID,1722896683
216,vadso,70.0744,29.7487,283.64,93,75,4.63,NO,1722896386
